parent	category	uri	wiki
Italian cheeses	it:Formai de Mut Dell'alta Valle Brembana	/category/it:formai-de-mut-dell-alta-valle-brembana	
Italian cheeses	it:Montasio	/category/it:montasio	
Italian cheeses	it:Monte Veronese	/category/it:monte-veronese	
Italian cheeses	it:Murazzano	/category/it:murazzano	Q1238105
Italian cheeses	it:Nostrano Valtrompia	/category/it:nostrano-valtrompia	Q3878649
Italian cheeses	it:Piacentinu Ennese	/category/it:piacentinu-ennese	
Italian cheeses	it:Piave	/category/it:piave	
Italian cheeses	it:Provolone del Monaco	/category/it:provolone-del-monaco	
Italian cheeses	it:Provolone Valpadana	/category/it:provolone-valpadana	
Italian cheeses	it:Puzzone di Moena	/category/it:puzzone-di-moena	
Italian cheeses	it:Quartirolo Lombardo	/category/it:quartirolo-lombardo	
Italian cheeses	it:Ragusano	/category/it:ragusano	
Italian cheeses	it:Raschera	/category/it:raschera	
Italian cheeses	it:Robiola di Roccaverano	/category/it:robiola-di-roccaverano	
Italian cheeses	it:Spressa delle Giudicarie	/category/it:spressa-delle-giudicarie	
Italian cheeses	it:Squacquerone di Romagna	/category/it:squacquerone-di-romagna	
Italian cheeses	it:Stelvio	/category/it:stelvio	
Italian cheeses	it:Strachitunt	/category/it:strachitunt	
Italian cheeses	it:Taleggio	/category/it:taleggio	
Italian cheeses	it:Toma Piemontese	/category/it:toma-piemontese	
Italian cheeses	it:Valle d'Aosta Fromadzo	/category/it:valle-d-aosta-fromadzo	
Italian cheeses	it:Valtellina Casera	/category/it:valtellina-casera	
Italian cheeses	it:Vastedda della valle del Belìce	/category/it:vastedda-della-valle-del-belice	
Cheeses	Labeled cheeses	/category/labeled-cheeses	
Labeled cheeses	AOC cheeses	/category/aoc-cheeses	
AOC cheeses	Pont-l'évêque	/category/pont-l-eveque	Q1233145
AOC cheeses	fr:Comté	/category/fr:comte	
